Title,Keywords,Research_Goal,Research_Question,Hypotheses,Methodology,Findings_Summary,Future_Research_Suggestions,Organisation,Author,Supervisor,Study_Programme,Submission_date,Source_File
Czech your Attitude: Assessing Framing Effects on EU Attitudes in the Czech Republic,"European Union, Framing, EU Attitudes, Experiment, Czech Republic, CEE, Risk and Opportunity framing, Eurozone, News frames",To assess to what extent do opportunity and risk frames regarding the Eurozone affect attitudes towards the EU.,To what extent and how do opportunity and risk news frames regarding the Eurozone affect citizens’ attitudes towards the EU?,(H1) People exposed to the opportunity news frame will have more favourable attitudes towards the EU than people exposed to the risk news frame.; (H2) The lower the political knowledge of individuals the more they will be affected by the news frames.,"The study utilized a survey-embedded experiment with a one factor (frames, two levels) between-subjects design, distributed via social media and email. It involved measuring political knowledge and attitudes towards the EU across five dimensions.","Results suggest that there is no effect of frames on any of the dimensions of EU attitudes, and the research aim was not achieved satisfactorily.","['The need for clarity surrounding the definition of framing in communication science is urgent.', 'The concept of EU attitudes deserves further testing with considerably larger and more representative samples.', 'Longitudinal study of other media effects on EU attitudes and further search for more variables moderating this relationship should be in order.', 'Spreading the concept of EU attitudes in the CEE region and testing it in a comparative design would shine more light on potential differences between the East and the West of the European Union.']",not present,Filip Hanka,Dr. Joost van Spanje,Communication Science: Political Communication,01-2019,31242.pdf
A comparative study on foreign fighters and their return,"foreign fighters, return, policy crisis, historical comparison, Western Europe",to explore how a historical comparison of foreign fighters can shape an adequate policy in Western Europe towards foreign fighters,What can a historical comparison of foreign fighters expose to shape an adequate policy in Western Europe towards foreign fighters?,not present,"The research employs a qualitative research strategy with a constructivist ontology and interpretative epistemology. It uses a comparative research design via multiple-case studies, semi-structured interviews with experts, and qualitative content analysis of mass media and private sources.","The current flow of foreign fighters is significantly larger and more diverse than previous flows, with a notable increase in Western European participants. The study highlights a policy crisis in addressing their return, emphasizing the need for controlled reintegration and the dangers of ignoring the issue.","['Further empirical research is needed to evaluate the effectiveness of existing measures regarding foreign fighters.', 'Future studies should focus on the underlying causes of recruitment to prevent future waves of foreign fighters.']",not present,Tessa Hoenselaar,"Dhr. Dr. J.M.J. Doomernik, Mw. Dr. B. Isleyen",Master thesis Political Science,06-2019,31355.pdf
Voorspellers van de Meest Gewenste Manier van het Realiseren van de Kinderwens bij Niet-Heteroseksuele Mannen en Vrouwen,"desire, surrogate, co-parenting, sperm donor, theory of planned behavior",Het doel van het onderzoek is om een vergelijking te maken tussen niet-heteroseksuele mannen die de kinderwens het liefst realiseren via een draagmoeder en niet-heteroseksuele mannen die de kinderwens het liefst realiseren via een meerouderschap-constructie.,Hoe willen niet-heteroseksuele mannen en vrouwen hun kinderwens realiseren?,not present,Exploratief cross-sectioneel onderzoek met een online vragenlijst. Participanten waren niet-heteroseksuele mannen en vrouwen die geen kinderen hadden en hun voorkeur voor de manier van kinderwens realisatie gaven.,Mannen die voor een draagmoeder kiezen zijn vaker in een relatie dan mannen die voor een meerouderschap-constructie kiezen. Bij vrouwen zijn er geen significante verschillen gevonden.,"['Onderzoek naar vrouwen die het liefst willen kiezen voor een bekende donor zonder opvoedende rol.', 'Kijken of de predictoren van de intentie om de kinderwens te realiseren mogelijk een mediërende rol spelen bij het verband tussen relatiestatus en de manier waarop niet-heteroseksuelen de kinderwens het liefst realiseren.']",Stichting Meer dan Gewenst,R. Poorte,"mw. Prof. Dr. H.M.W. Bos, mw. J.V. van Aar","Preventieve Jeugdhulp en Opvoeding, Pedagogische Wetenschappen en Onderwijskunde",06-2018,31437.pdf
Only Men Can Do This and Only Women Can Do That,"Athlete endorser, advertising, gender appropriateness",To examine the gap between female and male athletes in advertising and the effectiveness of athlete endorsers.,How does the gender of athlete endorsers and the classification of the sport as masculine or feminine impact the credibility of the endorser and the purchase intention? And does this depend on whether there is a high or a low product-fit?,"H1. Endorsers in gender appropriate sports are perceived as more attractive, trustworthy and to have higher expertise compared to endorsers in gender-inappropriate sports and will result in higher purchase intentions.; H2. Endorsers in gender appropriate sports are perceived as more attractive, more trustworthy and have a higher expertise level compared to endorsers in gender-inappropriate sports and will result in higher purchase intentions when there is a misfit between the endorser and the product, but not when there is fit.",An online experiment with a total of 502 participants was conducted using a 2 (Endorser: female vs male) x 2 (Appropriateness: Appropriate vs Inappropriate) x 2 (Product fit: High product fit vs low product fit) between-subject design.,"The findings indicated that the gender of the endorser had a significant difference on the credibility variable of attractiveness, with female athletes perceived to be more attractive than male athletes. The product fit was key to the effectiveness of an endorser.",['Further studies should examine the effectiveness of male endorsers participating in gender inappropriate sports.'],not present,Yasmin Saud Abdulkadir,Dr. Saar Mollen,Master’s programme of Communication Science,02-2019,31449.pdf
Leerkracht-leerlingrelaties en rekenprestaties van basisschoolleerlingen: Priming studie met foto’s van de leerkracht.,"leerkracht-leerlingrelaties, rekenprestaties, subliminale priming, affectieve prime, relatiekwaliteit, conflict, nabijheid, gender",Onderzoeken of subliminale priming met een foto van de leerkracht een goede manier is om de leerkracht-leerlingrelatie en het effect van die relatie op de rekenprestatie van basisschoolleerlingen te meten.,(1) Beïnvloedt een affectieve prime (foto van de leerkracht) de rekenprestaties van de leerlingen? (2) Beïnvloedt de kwaliteit van de leerkracht-leerlingrelatie deze primingeffecten? (3) Is er verschil in primingeffect voor jongens en meisjes?,"Er is sprake van een primingeffect, waarbij de groep leerlingen met de affectieve prime de rekentaak beter zullen maken dan leerlingen met de neutrale prime.; Een nabije leerkracht-leerlingrelatie is een moderator voor een positieve primingeffect en een conflictueuze leerkracht-leerlingrelatie is een moderator voor een negatieve primingeffect op de rekentaak.; Het primingeffect bij meisjes is sterker dan bij jongens.",Het onderzoek had een quasi-experimenteel design en bestond uit een steekproef van 120 basisschoolleerlingen uit groepen 6 en 8. De leerlingen werden verdeeld in een experimentele groep (affectieve prime) en een controle groep (neutrale prime). De kwaliteit van de leerkracht-leerlingrelatie werd gemeten met een vragenlijst. De data werden geanalyseerd met multilevel analyses.,"Er werd geen primingeffect gevonden op de rekenprestaties van de leerlingen wanneer de relatiekwaliteit niet werd meegenomen. Bij het rekening houden met de relatiekwaliteit was er wel een primingeffect op reactietijd, maar niet op accuratesse.","['Vervolgonderzoek kan zich richten op het verschil in werking tussen bewuste en onbewuste affectieve priming.', 'De rol van afhankelijkheid binnen de leerkracht-leerlingrelatie kan verder onderzocht worden.']",not present,Renske Schijfsma,"Mw. dr. T.L. van Zuijen, Mw. dr. D.L. Roorda",Pedagogische en Onderwijskundige Wetenschappen,12-2017,34214.pdf
Een kwalitatief onderzoek naar online seksueel risicogedrag en sextortion: Een blik in de motieven en de beleving van jonge sextortion-slachtoffers,"online seksueel risicogedrag, sextortion, motieven, ervaring, sekseverschillen",Inzicht verkrijgen in de motieven voor het vertonen van online seksueel risicogedrag en de beleving daarvan bij jonge sextortion-slachtoffers.,1) Welke motieven hebben ervoor gezorgd dat jonge sextortion-slachtoffers online seksueel risicogedrag zijn gaan vertonen? 2) Op welke manier hebben jonge sextortion-slachtoffers het online seksueel risicogedrag en de daaropvolgende sextortion beleefd? 3) Zijn er mogelijk sekseverschillen te vinden in de motieven voor het vertonen van online seksueel risicogedrag en de beleving van het online seksueel risicogedrag en de daaropvolgende sextortion bij deze jonge sextortion-slachtoffers?,De vertoning van online seksueel risicogedrag komt voor een deel voort uit intrinsieke motivatie.; Een deel van het gedrag voortkomt uit extrinsieke motivatie.; Meisjes ervaren meer druk en hebben minder intrinsieke motivatie voor het vertonen van online seksueel risicogedrag.,"Kwalitatief onderzoek gebaseerd op meldingen van 31 hulpzoekende sextortion slachtoffers (15 jongens en 16 meisjes) tussen de 9 en 24 jaar. Data-analyse omvatte open, axiaal en selectief coderen.","De resultaten tonen drie fases in het sextortion-proces: verleiding, verzoek (en overreding en chantage), en de nasleep. Er zijn sekseverschillen in de motieven en beleving van online seksueel risicogedrag.","['Onderzoek naar online seksueel risicogedrag van een niet-hulpbehoevende populatie.', 'Onderzoek naar online seksueel risicogedrag in relatie tot seksuele identiteit.', 'Dieper ingaan op de kennis van jongeren over online gedrag en de mogelijke gevolgen hiervan.']","Help Wanted (HW), Expertisebureau Online Kindermisbruik (EOKM)",A.A. (Aukje) van de Kuilen,"Mw. Dr. I.B. (Inge) Wissink, Mw. J. (Joyce) Weeland",Forensische Orthopedagogiek,07-2017,35204.pdf
The organization as part of the self: Organizational identification as communicative process in a changing organization,"organizational identification, communication, organizational change, employee behavior, qualitative research",To explore the role of communication in the process of organizational identification during an organizational change.,What is the role of communication in the process of organizational identification during an organizational change?,not present,"The study used qualitative methods, specifically in-depth interviews with 9 employees in a changing organization, to explore their experiences and perspectives on communication and organizational identification.","The findings indicated that both planned and unplanned communication significantly influence organizational identification. Transparent communication was found to enhance identification, while inadequate communication led to detachment. Employees identified more with proximal targets (e.g., teams) than with the organization as a whole.","['Investigate the role of external factors like perceived external reputation on organizational identification.', 'Conduct longitudinal studies to understand the impact of time on organizational identification during changes.', 'Explore the effects of different types of organizational changes (e.g., mergers vs. internal restructuring) on employee identification.']",not present,Viola Dijkman,dr. J.M. Slevin,Master’s program Communication Science; Corporate communication (MSc),02-2019,35298.pdf
The Effects of Inanimate Emotional Expressions on Liking and Emotional Contagion,"inanimate emotional expressions, liking, emotional contagion, perspective-taking",to determine whether inanimate emotional expressions serve similar effects as human emotional expressions,Do inanimate emotional expressions evoke similar interpersonal effects as human emotional expressions?,"There is more liking of the inanimate object in the happy condition, compared to the anger condition and the control condition.; There is no difference in mood prior to exposure to the stimulus.; Participants in the happy-condition will experience more happiness at the second measurement of emotional contagion, compared to anger- and control condition.; Participants in the anger condition will experience more anger at the second measurement of emotional contagion, compared to happy- and control condition.; Respondents with high perspective-taking ability tend to show more emotional contagion, compared to low perspective-taking ability.","The study used a questionnaire method with 157 participants randomly assigned to happy, anger, or control conditions. Liking was measured using the Attitude Semantic Scale, and emotional contagion was assessed using the Discrete Emotions Questionnaire. Perspective-taking was measured with a subscale of the Interpersonal Reactivity Index.","Participants reported more liking towards a happy inanimate emotional expression compared to anger or control conditions. However, no evidence for emotional contagion was found.","['Future research could examine different inanimate objects.', 'Emotional contagion could be measured by using a moving stimulus instead of just a picture.', 'An additional factor could be added to increase the motivation to anthropomorphize.']",not present,Rosa Latour,G.A. van Kleef,MSc Social influence | Faculty of Social and Behavioral Sciences,04-2019,35494.pdf
De ontwikkeling in opvoedvaardigheden en competentiebeleving van tienermoeders en de relatie hiertussen,"teenage mothers, parenting skills, sense of competence",meer inzicht te krijgen in de manier waarop het opvoedgedrag en de competentiebeleving van tienermoeders zich ontwikkelt naarmate de tijd verstrekt en zij meer opvoedervaring opdoen,(1) Is er een verandering in opvoedvaardigheden en competentiebeleving van tienermoeders zij meer opvoedervaring opdoen? (2) Is er een relatie tussen de verandering in competentiebeleving en de verandering in opvoedgedrag?,not present,Longitudinal study with a sample of 31 teenage mothers who completed questionnaires at three measurement moments. Data were analyzed using repeated measures ANOVA and correlation analysis.,"Mothers became more responsive, emphasized autonomy, and showed more warmth over the years, while their sense of competence remained the same. No relationship was found between changes in parenting skills and changes in competence experience.","['Use a bigger sample for a longitudinal cohort starting at the birth of the first child.', 'Compare young mothers with older mothers to determine differences in the development of parenting skills.']",not present,C.A.P. Andeweg,"mw. dr. F.B. van Rooij, mw. dr. E.S. van Vugt",Forensische Orthopedagogiek,06-2018,36377.pdf
Behandeling voor kinderen met een Autisme Spectrum Stoornis: de effectiviteit van Mindfulness in vergelijking met andere behandelingen.,"Autisme Spectrum Stoornis, Mindfulness, behandeling, ouderlijke stress, gedragsproblemen",Onderzoeken van de effectiviteit van Mindfulness bij kinderen met ASS en hun ouders in vergelijking met gebruikelijke interventies.,(1) Is MFN effectief in het verminderen van gedragsproblemen bij kinderen en het verminderen van ouderlijke stress en psychopathologie bij ouders? (2) Is MFN effectiever dan de treatment as usual (TAU)?,Het volgen van een MFN training zorgt voor een afname van gedragsproblemen bij het kind.; Een MFN oudertraining draagt bij aan het verminderen van ouderlijke psychopathologie.; Een MFN training doet ouderlijke stress afnemen.; De afname van ouderlijke stress en gedragsproblemen en de toename van de kwaliteit van leven is groter bij de deelnemers die de MFN training hebben gevolgd dan bij de deelnemers die een behandeling uit de TAU groep hebben gehad.,"Empirisch onderzoek met een kwantitatieve benadering. Multi-level analyses zijn gebruikt om de data te analyseren. De onderzoekspopulatie bestond uit 121 kinderen met ASS en hun ouders, verdeeld in een MFN groep en een TAU groep.","Na de MFN training zijn ouder- en kindproblemen afgenomen. Beide behandelingen (MFN en TAU) zijn even effectief, met uitzondering van de totale en internaliserende psychopathologie bij moeders, waarbij moeders uit de MFN groep een sterkere afname lieten zien.",['Een randomized control trial (RCT) wordt aanbevolen voor vervolgonderzoek.'],Universiteit van Amsterdam,G.J. Jansen-Brander,"dr. F.J.A. van Steensel, dr. E. Potharst",Masterscriptie Orthopedagogiek,08-2018,37914.pdf
